FIRST_INV_DATE,NAME,GENDER,AGE,STATE,COUNTRY,INVESTMENT_TYPE,NET_ASSET_VALUE
2012,"Bank of America Corp.%2f Bank of America,NA",MALE,18,DE,United States,Alternative,212332.1503
2012,Chicago Carriage Cab Company,MALE,18,IL,United States,Alternative,718464.1755
2012,Barrett & Porto,FEMALE,18,IL,United States,Alternative,21340.8248
2014,Sutherland LLC,FEMALE,18,NJ,United States,Alternative,132508.3856
2012,Museums in the Park,MALE,18,IL,United States,Alternative,734877.3064
2017,VPC 740 Rush LLC,FEMALE,18,IL,United States,Alternative,80589883.97
2017,"Siebert Cisneros Shank & Co., L.L.C.",FEMALE,18,IL,United States,Alternative,21218120.79
2017,"Ispas, Luminita",MALE,18,IL,United States,Alternative,45407364.4
2017,"Merrill Lynch, Pierce, Fenner & Smith, Inc.",MALE,18,NC,United States,Alternative,90364515.93
2017,"Adekola, Michelle",MALE,18,IL,United States,Alternative,19491122.45
2016,"Wawro, Johana",MALE,18,IL,United States,Alternative,48347356.91
2017,New Chinatown Real Estate,MALE,18,IL,United States,Alternative,90997487.66
2017,Resurrection Medical Center,MALE,18,IL,United States,Alternative,21722346.42
2017,1325 Wicker Park LLC,MALE,18,IL,United States,Alternative,52647912.49
2017,Hewlett Packard Enterprise,FEMALE,18,CA,United States,Alternative,56394287.17
2017,Peerless Real Estate Development LLC,MALE,18,IL,United States,Alternative,85613425.53
2017,Joshua Lipton,MALE,18,IL,United States,Alternative,117039327.2
2017,"Algonquin Venture Real Estate, LLC",MALE,18,IL,United States,Alternative,23468616.86
2017,Greenview Building Corporation,FEMALE,18,IL,United States,Alternative,115712567.8
2017,Lifetime Fitness,MALE,18,IL,United States,Alternative,117775356.6
2017,"Flying Retail, LLC",MALE,18,IL,United States,Alternative,107095622
2017,Northern Trust Corporation,FEMALE,18,IL,United States,Alternative,85052001.34
2017,JPMorgan Chase & Co.,MALE,18,NY,United States,Cash,98629598.81
2017,1200 W. Fulton Market LLC,MALE,18,IL,United States,Equities,74511330.6
2017,"112 S. Sangamon, LLC",FEMALE,18,IL,United States,Currency,88989375.85
2017,Salt & Light Coalition,MALE,18,IL,United States,Bonds,68665635.68
2017,JMMN LLC C/O GERHARD ZINSERLING & JOEL HELLER,MALE,18,IL,United States,Cash,90982996.36
2012,Public Building Commission of Chicago,FEMALE,19,IL,United States,Alternative,990055.7561
2012,71 S. Wacker Dr. LLC,MALE,19,CA,United States,Alternative,173062.5511
2012,VHNA Acquistion LP,FEMALE,19,IL,United States,Alternative,606895.8907
2012,Deutsche Bank National Trust Co.,MALE,19,IL,United States,Alternative,765104.569
2012,"Neal, Gerber & Eisenberg, LLP",MALE,19,IL,United States,Alternative,517178.9463
